Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
Exercício: 2021,,,,,,,República Federativa do Brasil,,,,Página: 1 de,8.0
Processo,Modalidade,Nro. Modalidade,Abertura,,,Situação,Objeto,,,,,
,,,,,Publicação,,,,,,,
,,,,,,,"ano/modelo 2011/2012, placa HLF-7837, a serviço do Departamento de Assistência Rural.",,,,,
174/2012,DISPENSA DE LICITAÇÃO,40,01-11-2012 14:00,,13-11-2012,Encerrado,"Contratação de empresa especializada na área de diagnostico por imagem para prestação de serviços de proteção radiológica em radiologia incluindo: levantamento radiometrico e de radiação de fuga, e teste de constância no aparelho de Raio-X, marca Medicor, modelo Neodiagnomax, nº de Patrimônio 12.295 e na sala de raio-x, localizada no Pronto Atendimento Municipal.",,,,,
171/2012,INEXIGIBILIDADE DE LICITAÇÃO,29,31-10-2012 08:30,,01-11-2012,Encerrado,"Serviço a ser prestado em mão de obra mecânica na (transmissão) acobertada pela garantia consistindo em: diagnóstico e verificação de falha; instalação; recondicionamento; remoção; reboque de ida e volta da máquina Motoniveladora G930, marca Volvo, série 501413, do Departamento de Assistência Rural.",,,,,
169/2012,DISPENSA DE LICITAÇÃO,39,29-10-2012 10:00,,30-10-2012,Encerrado,"Aquisição de medicamento para a paciente Abadia Aparecida Tirone Silva, conforme determinação de Ação Sumária com Pedido urgente de antecipação de Tutela imposta ao Município de Prata-MG, no Processo nº 31.86-83.2012.4.01.3803 do Poder Judiciário, da 4ª Vara - do Juizado Especial Federal - Subseção Judiciária de Uberlândia-MG.",,,,,
168/2012,DISPENSA DE LICITAÇÃO,38,26-10-2012 10:00,,30-10-2012,Encerrado,"Aquisição de medicamento para a paciente Homerina Ferreira Lima Freitas, conforme determinação de Ação Sumária com Pedido urgente de antecipação de Tutela imposta ao Município de Prata-MG, no Processo nº 11323-54.2012.4.01.3803 do Poder Judiciário, da 2ª Vara da Subseção Judiciária de Uberlândia.",,,,,
164/2012,INEXIGIBILIDADE DE LICITAÇÃO,28,19-10-2012 14:00,,30-10-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica para manutenção programada de 80.000 do veículo Car/Caminhão/Basculante, marca/modelo Iveco/Eurocargo 230E24, ano/modelo 2009/2009, placa HLF-1556, bem como aquisição de peças novas e serviços de mão de obra mecânica para o veículo Car/Caminhão/Basculante, marca/modelo Iveco/Eurocargo 230E24, ano/modelo 2009/2010, placa HLF-1557, a serviço do Departamento de Assistência Rural.",,,,,
162/2012,PREGÃO PRESENCIAL,81,19-10-2012 08:30,,05-10-2012,Encerrado,"Locação de cadeiras, mesas e freezers, prestação de serviços de segurança e aquisição de materiais para preparação de lanches, a serem distribuídos no evento ""natal das crianças carentes"" no dia 15/12/2012, início previsto para às 15:00 horas e término às 18:00 horas, no Parque de Exposição Virgílio Galassi, situado à Praça dos Arantes, Bairro Esperança, Prata-MG, a ser promovido pelo Departamento de Promoção Humana.

",,,,,
161/2012,PREGÃO PRESENCIAL,80,18-10-2012 08:30,,04-10-2012,Encerrado,Aquisição de materiais para ornamentação do Cemitério Municipal para o dia de Finados.,,,,,
159/2012,PREGÃO PRESENCIAL,79,15-10-2012 08:30,,01-10-2012,Encerrado,Aquisição de materiais de limpeza para suprir as necessidades dos Departamentos da Prefeitura Municipal.,,,,,
163/2012,DISPENSA DE LICITAÇÃO,37,11-10-2012 10:00,,19-10-2012,Encerrado,"Aquisição de medicamento para a paciente Aparecida Lopes Bezerra, conforme determinação judicial na Ação de Obrigação de Fazer (concretização de direito fundamental) com concessão de Tutela Antecipada Específica, imposta ao Município de Prata-MG, no Processo nº 0528.12.002455-9, da Vara Única da Comarca de Prata-MG.",,,,,
158/2012,PREGÃO PRESENCIAL,78,10-10-2012 08:30,,24-09-2012,Fracassado,"Contratação de empresa especializada para manutenção de poço tubular profundo semi-artesiano, situado na Unidade de Triagem e Compostagem de Lixo do município de Prata-MG.

",,,,,
156/2012,PREGÃO PRESENCIAL,77,09-10-2012 08:30,,19-09-2012,Encerrado,"Contratação de pessoa jurídica, visando a locação de um veículo com capacidade mínima de 40 (quarenta) passageiros, para serviços de transporte escolar intermunicipal, atendendo as necessidades do Departamento de Educação deste Município.",,,,,
155/2012,PREGÃO PRESENCIAL,76,28-09-2012 08:30,,17-09-2012,Encerrado,"Aquisição de pneus novos, câmaras de ar e protetores para serem utilizados nos veículos e máquinas da frota da Prefeitura Municipal de Prata.",,,,,
157/2012,INEXIGIBILIDADE DE LICITAÇÃO,27,19-09-2012 15:00,,20-09-2012,Encerrado,"Aquisição de peças novas para manutenção da Motoniveladora RG 140-B, Chassi N7AF00399, marca New Holland, a serviço do Departamento de Assistência Rural.",,,,,
153/2012,CARTA CONVITE,3,19-09-2012 08:30,,11-09-2012,Encerrado,"Contratação de empresa para execução de serviços de manutenção corretiva para o equipamento hospitalar: Aparelho de Raio-X, marca Medicor, modelo Neodiagnomax, nº de Patrimônio 12.295, utilizado no (PAM) Pronto Atendimento Municipal.",,,,,
152/2012,PREGÃO PRESENCIAL,75,18-09-2012 08:30,,04-09-2012,Revogado,"Contratação de empresa especializada para realização dos serviços de disposição local, coleta, transporte, tratamento e disposição final dos resíduos de serviços de saúde - RSS, dos Grupos ""A"", ""B"" e ""E"", de acordo com a classificação das Resoluções CONAMA nº 358/2005 e ANVISA RDC nº 306/2004, e suas atualizações, além de outras legislações em vigor, proveniente do Município de Prata (MG).",,,,,
154/2012,DISPENSA DE LICITAÇÃO,35,12-09-2012 09:00,,14-09-2012,Encerrado,"Aquisição de peças novas para revisão de garantia de 01 (um) ano do veículo Car/Caminhão/Tanque/Meca, Ford/Cargo 1317 CN, ano/modelo 2011/2012, placa HLF-7292, a serviço do Departamento de Serviços Públicos, utilizado na Limpeza Pública.",,,,,
149/2012,INEXIGIBILIDADE DE LICITAÇÃO,26,30-08-2012 08:30,,04-09-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica para manutenção da Motoniveladora RG 140-B, Chassi N7AF00399, marca New Holland, a serviço do ",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 2 de, 8,,,
,,,,,,,Departamento de Assistência Rural.,,,,,
144/2012,TOMADA DE PREÇOS,8,29-08-2012 08:30,,11-08-2012,Encerrado,"Contratação de empresa para execução de serviços de engenharia para reforma e ampliação da Escola Municipal Padre João Anesi, localizada no Povoado de Monjolinho, no município de Prata-MG.

",,,,,
141/2012,PREGÃO PRESENCIAL,74,20-08-2012 08:30,,07-08-2012,Encerrado,Aquisição de equipamentos permanente hospitalar e de informática para atender as necessidades dos Departamentos da Prefeitura Municipal de Prata-MG.,,,,,
142/2012,INEXIGIBILIDADE DE LICITAÇÃO,24,09-08-2012 13:00,,14-08-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica e elétrica para manutenção dos veículos Car/Caminhão/Basculante, marca/modelo Iveco/Eurocargo 230E24, ano/modelo 2009/2009, placa HLF-1556 e Car/Caminhão/Basculante, marca/modelo Iveco/Eurocargo 230E24, ano/modelo 2009/2010, placa HLF-1557, a serviço do Departamento de Assistência Rural.",,,,,
128/2012,CONCORRENCIA PÚBLICA,5,09-08-2012 08:30,,09-07-2012,Encerrado,"Contratação de obras de engenharia de infra-estrutura urbana referente à pavimentação asfáltico e recapeamento asfáltico em CBUQ (Concreto Betuminoso Usinado a Quente), meio fios, sarjetas e sinalização horizontal a ser realizada em diversas ruas da cidade de Prata, nos termos do Convênio nº 213/2012/SETOP/MG, celebrado entre a Secretaria de Estado de Transportes e Obras Públicas e o Município de Prata-MG.",,,,,
137/2012,PREGÃO PRESENCIAL,73,02-08-2012 08:30,,20-07-2012,Deserto,"Locação de um compactador de solo tipo saco, incluso por conta do município (locatário), as despesas com operador, combustível e óleo lubrificante, para atender as necessidades do Departamento de Serviços Públicos.",,,,,
139/2012,DISPENSA DE LICITAÇÃO,27,01-08-2012 13:00,,02-08-2012,Encerrado,"Serviço de mão de obra mecânica para substituição do cabo do acelerador, acobertado pela garantia, da máquina Pá Carregadeira, marca Case, modelo W 20-E, série NBAE013192011, a serviço do Departamento de Assistência Rural.",,,,,
136/2012,PREGÃO PRESENCIAL,72,01-08-2012 08:30,,18-07-2012,Encerrado,"Aquisição de roupas de cama e banho, bem como tecidos para serem utilizados no Departamento de Saúde.",,,,,
135/2012,PREGÃO PRESENCIAL,71,31-07-2012 08:30,,18-07-2012,Encerrado,"Aquisição de materiais para confecção de enfeites natalinos com garrafa pet e serviço para instalação elétrica dos enfeites, para ornamentação das Praças XV de Novembro, Juscelino Kubitschek e Sergio Henrique de Novais.

",,,,,
133/2012,PREGÃO PRESENCIAL,70,30-07-2012 08:30,,16-07-2012,Encerrado,"Aquisição de 01 (um) veículo novo destinado ao Departamento de Serviços Públicos.

",,,,,
132/2012,PREGÃO PRESENCIAL,69,27-07-2012 08:30,,13-07-2012,Encerrado,"Contratação de pessoa jurídica para locação de um caminhão basculante truck, incluso, por conta do locador, as despesas com motorista, combustível e manutenção do veículo, para atender as necessidades do Departamento de Serviços Públicos.",,,,,
131/2012,PREGÃO PRESENCIAL,68,26-07-2012 08:30,,12-07-2012,Encerrado,"Aquisição de recarga em extintores destinados aos prédios públicos e veículos da frota da Prefeitura municipal de Prata-MG.

",,,,,
130/2012,PREGÃO PRESENCIAL,67,25-07-2012 08:30,,11-07-2012,Encerrado,"Contratação de empresa especializada para confecção e instalação de coberturas/toldos, persianas e tenda e, prestação de serviços de manutenção corretiva e assistência técnica durante o prazo de garantia, para atender os Departamentos de Saúde e Promoção Humana.",,,,,
129/2012,PREGÃO PRESENCIAL,66,24-07-2012 08:30,,10-07-2012,Encerrado,"Aquisição de ferramentas e equipamentos para manutenção da oficina do prédio da Divisão de Oficina e Almoxarifado.

",,,,,
134/2012,INEXIGIBILIDADE DE LICITAÇÃO,22,13-07-2012 13:00,,13-07-2012,Encerrado,"Aquisição de peças novas para revisão programada de 3.250 horas de operação para manutenção preventiva da máquina Motoniveladora G930, marca Volvo, série 501413, do Departamento de Assistência Rural.",,,,,
126/2012,PREGÃO PRESENCIAL,65,13-07-2012 08:30,,02-07-2012,Encerrado,"Contratação de empresa especializada para locação de software de controle para atender de forma integrada todos os Departamentos da Prefeitura Municipal de Prata-MG.

",,,,,
124/2012,PREGÃO PRESENCIAL,64,10-07-2012 08:30,,27-06-2012,Deserto,Contratação de empresa para prestação de serviços gráficos de plotagem de mapas e projetos para serem utilizados de acordo com a necessidade pela Assessoria de Planejamento.,,,,,
123/2012,PREGÃO PRESENCIAL,63,09-07-2012 08:30,,26-06-2012,Encerrado,"Contratação de empresa especializada para realização de evento, na Praça XV de Novembro, Centro, no dia 12/10/2012, destinado a comemoração do ""Dia das Crianças"", início previsto às 15:30 horas e término às 18:00 horas.",,,,,
121/2012,PREGÃO PRESENCIAL,62,03-07-2012 08:30,,21-06-2012,Deserto,Aquisição de 01 (um) veículo novo destinado ao Departamento de Serviços Públicos.,,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 3 de, 8,,,
100/2012,CONCORRENCIA PÚBLICA,4,02-07-2012 08:30,,31-05-2012,Encerrado,"Contratação de obras de engenharia de infra-estrutura urbana referente à recapeamento asfáltico de 12.322,29 m2 em CBUQ (Concreto Betuminoso Usinado a Quente), inclusive sinalização e execução de 2.848,38 ml de sarjeta nas ruas João de Almeida Macedo, Arthur Bernardes, José Benjamin Guimarães, Nazário Fagundes, Padre Antonio Dias Gouveia, Padre Ângelo Feo, Antonio Filomena, Segismundo Novaes e Praças XV de Novembro e Doutor Fausto de Melo, na cidade de Prata-MG.",,,,,
117/2012,PREGÃO PRESENCIAL,61,29-06-2012 08:30,,18-06-2012,Encerrado,"Aquisição de materiais diversos de segurança, em atendimento aos Departamentos da Prefeitura Municipal de Prata-MG.",,,,,
118/2012,CARTA CONVITE,2,27-06-2012 08:30,,19-06-2012,Encerrado,"Aquisição e instalação de 31 (trinta e um) mata-burros de ferro, em diversas estradas rurais do Município de Prata-MG, nos termos do Contrato de Repasse nº 02690.0329.133-52/2010/MAPA/CAIXA celebrado entre o Ministério da Agricultura, Pecuária e Abastecimento e o Município de Prata-MG. ",,,,,
109/2012,PREGÃO PRESENCIAL,60,26-06-2012 08:30,,13-06-2012,Encerrado,"Aquisição de equipamentos permanente hospitalar, mobiliário, eletro portátil, eletrodoméstico, eletroeletrônico e de informática para atender as necessidades dos Departamentos da Prefeitura Municipal de Prata-MG.",,,,,
108/2012,PREGÃO PRESENCIAL,59,25-06-2012 08:30,,12-06-2012,Encerrado,"Contração de empresa especializada para locação de 01 (um) veículo tipo VAN com capacidade de até 16 (dezesseis) lugares para serviços de transporte intermunicipal de pacientes que se submetem a tratamento de hemodiálise em Uberlândia-MG, atendendo as necessidades do Departamento de Saúde.",,,,,
106/2012,PREGÃO PRESENCIAL,58,22-06-2012 08:30,,08-06-2012,Encerrado,Contratação de seguros para os veículos da frota do município de Prata-MG.,,,,,
122/2012,DISPENSA DE LICITAÇÃO,25,21-06-2012 13:30,,05-07-2012,Encerrado,Aquisição de pneus novos para serem utilizados nos veículos e máquinas da frota da Prefeitura Municipal de Prata.,,,,,
105/2012,PREGÃO PRESENCIAL,57,21-06-2012 08:30,,05-06-2012,Encerrado,Aquisição de uniformes para equipes de competição do Centro de Esportes e Lazer - CEL.,,,,,
103/2012,PREGÃO PRESENCIAL,55,20-06-2012 08:30,,04-06-2012,Encerrado,Aquisição de uniformes e materiais para os Agentes de Endemias que trabalham junto à Vigilância Epidemiológica da Prefeitura Municipal de Prata.,,,,,
104/2012,PREGÃO PRESENCIAL,56,19-06-2012 13:30,,04-06-2012,Encerrado,"Realização de evento na Praça XV de Novembro, Centro, no dia 23/06/2012, destinado a comemoração do ""Juninão Municipal"", início previsto às 20:00 horas e término às 01:00 hora do dia 24/06/2012.",,,,,
101/2012,PREGÃO - REGISTRO DE PREÇO,1,19-06-2012 08:30,,31-05-2012,Encerrado,"Registro de Preços para futura e eventual aquisição de medicamentos excepcionais, sob prescrição médica.",,,,,
91/2012,CONCORRENCIA PÚBLICA,3,18-06-2012 08:30,,18-05-2012,Encerrado,"Contratação de obras de engenharia de infra-estrutura urbana referente à pavimentação asfáltica em CBUQ (Concreto Betuminoso Usinado a Quente), meio fios, sarjetas e sinalização horizontal a ser realizada na Rua Joaquim Salomão e trecho da Rua Pará no Bairro Esperança, na cidade de Prata, nos termos do Convênio nº 122/2011/SETOP/MG, celebrado entre a Secretaria de Estado de Transportes e Obras Públicas e o Município de Prata-MG.",,,,,
102/2012,PREGÃO PRESENCIAL,54,15-06-2012 08:30,,01-06-2012,Encerrado,"Aquisição de materiais permanentes, para o Departamento de Serviços Públicos.",,,,,
97/2012,PREGÃO PRESENCIAL,53,13-06-2012 08:30,,23-05-2012,Encerrado,Aquisição de medicamentos de uso veterinário para manutenção do Canil Municipal.,,,,,
96/2012,PREGÃO PRESENCIAL,52,12-06-2012 08:30,,23-05-2012,Encerrado,"Aquisição de toners, cartuchos, periféricos, peças e acessórios para computadores, para suprir as necessidades dos Departamentos da Prefeitura Municipal de Prata-MG.",,,,,
86/2012,CONCORRENCIA PÚBLICA,2,11-06-2012 08:30,,10-05-2012,Encerrado,"Contratação de empresa especializada para execução do projeto de obras de infra estrutura urbana, que tem como objetivo a pavimentação em diversas ruas do município de Prata, nos termos do Processo de Habilitação de Operações de Crédito constantes do Edital de Seleção 2011 - Novo Somma Urbaniza - Contrato de Financiamento BDMG nº 153.033/12.",,,,,
95/2012,PREGÃO PRESENCIAL,51,08-06-2012 08:30,,23-05-2012,Deserto,Contratação de empresa especializada para execução de serviços de lavagem de veículos da frota da Prefeitura Municipal de Prata-MG.,,,,,
93/2012,PREGÃO PRESENCIAL,50,06-06-2012 08:30,,18-05-2012,Encerrado,"Aquisição de uma pá carregadeira sobre rodas, de fabricação nacional, nova, nos termos do Contrato de Repasse nº 0368.645-69/2011/MAPA/CAIXA, celebrado entre o Ministério da Agricultura, Pecuária e Abastecimento e o Município de Prata-MG.",,,,,
92/2012,PREGÃO PRESENCIAL,49,05-06-2012 08:30,,21-05-2012,Fracassado,Contratação de seguros para os veículos da frota do município de Prata-MG.,,,,,
62/2012,CONCORRENCIA PÚBLICA,1,01-06-2012 08:30,,16-04-2012,Encerrado,"Contratação de empresa especializada, no regime sob empreitada integral, para execução do Sistema de Esgotamento Sanitário no Município de Prata-MG, conforme Termo de Compromisso n.º TC/PAC 0202/2011 - Fundação Nacional de Saúde - FUNASA.",,,,,
90/2012,PREGÃO PRESENCIAL,48,30-05-2012 08:30,,17-05-2012,Encerrado,Aquisição de materiais elétricos para manutenção de Prédios e Logradouros Públicos do Município de Prata-MG.,,,,,
89/2012,CARTA CONVITE,1,29-05-2012 13:30,,15-05-2012,Encerrado,"Contratação de empresa para prestação de serviços de limpeza dos Córregos: Bananal, dos Moreiras, do Carmo incluindo sua nascente no Bairro Morada do Sol, para o combate ao mosquito da dengue (Aedes Aegypti) e controle do pernilongo (Culex sp), a ser executado em 02 (dois) períodos.",,,,,
88/2012,PREGÃO PRESENCIAL,47,28-05-2012 08:30,,15-05-2012,Encerrado,"Contratação de empresa para prestação de serviços de impressão gráfica, com a confecção de impressos personalizados para utilização dos Departamentos da Prefeitura Municipal de Prata.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 4 de, 8,,,
85/2012,PREGÃO PRESENCIAL,46,25-05-2012 08:30,,10-05-2012,Encerrado,Aquisição de materiais hospitalares para o Departamento de Saúde.,,,,,
84/2012,PREGÃO PRESENCIAL,45,24-05-2012 13:30,,10-05-2012,Encerrado,"Aquisição de gêneros alimentícios, materiais descartáveis e plantas ornamentais visando atendimento de eventos, reuniões e programas desenvolvidos pelos Departamentos de Educação e Promoção Humana.",,,,,
83/2012,PREGÃO PRESENCIAL,44,24-05-2012 08:30,,10-05-2012,Encerrado,"Aquisição de gêneros alimentícios visando atendimento aos Projetos desenvolvidos no Centro de Referencia de Assistência Social - CRAS, situado à Rua João de Almeida Macedo, nº 469, Bairro Centro, Prata.",,,,,
82/2012,PREGÃO PRESENCIAL,43,23-05-2012 08:30,,10-05-2012,Encerrado,"Contratação de empresa para prestação de serviços de recarga de cartuchos e toners com troca de cilindro, chip e revelador, para impressoras jato de tinta, multifuncionais e a laser, para suprir as necessidades dos diversos Departamentos da Prefeitura Municipal de Prata.",,,,,
99/2012,INEXIGIBILIDADE DE LICITAÇÃO,15,23-05-2012 08:00,,23-05-2012,Encerrado,Contratação de empresa para prestação de serviços técnicos e administrativos com fornecimento de materiais e equipamentos estratégicos para serem aplicados em instalação de rede de distribuição urbana do município de Prata-MG.,,,,,
94/2012,INEXIGIBILIDADE DE LICITAÇÃO,13,21-05-2012 09:00,,25-05-2012,Encerrado,"Aquisição de peças novas e serviços de revisão programada de 2.000 horas de operação para manutenção preventiva da Pá Carregadeira WA 200-5 - série B10458, marca Komatsu e aquisição de peças novas e serviços para manutenção da Pá Carregadeira WA 200-5 - série B10043, marca Komatsu, a serviço do Departamento de Assistência Rural.",,,,,
78/2012,PREGÃO PRESENCIAL,42,21-05-2012 08:30,,30-04-2012,Revogado,"Aquisição de pneus novos, câmaras de ar e protetores para serem utilizados nos veículos e máquinas da frota da Prefeitura Municipal de Prata.",,,,,
77/2012,PREGÃO PRESENCIAL,41,18-05-2012 08:30,,30-04-2012,Encerrado,"Contratação de empresa para confecção de esquadrias metálicas, tipo: placas de sinalização tipo cavalete, grelhas de bueiros, portas portões de correr e abrir, tampa e grades de proteção, para atender os Departamentos de Serviços Públicos, Promoção Humana e Educação.",,,,,
74/2012,TOMADA DE PREÇOS,7,17-05-2012 08:30,,25-04-2012,Encerrado,"Contratação de obras de engenharia de infra-estrutura urbana referente a implantação de dispositivos de drenagem nas ruas Major Eustáquio e Professor Valentim, no Bairro Bela Vista, na cidade de Prata-MG.",,,,,
73/2012,TOMADA DE PREÇOS,6,16-05-2012 08:30,,25-04-2012,Encerrado,"Contratação de obras de engenharia de infra-estrutura urbana referente ao recapeamento asfáltico com CBUQ (Concreto Betuminoso Usinado a Quente), em trechos das ruas Tenente Reis e Dom Eduardo e urbanização do Campo dos Rodoviários, conforme termos do Convênio nº 268/2011/SEGOV/PADEM, celebrado entre a Secretaria de Governo do estado de Minas Gerais e o Município de Prata-MG.",,,,,
72/2012,TOMADA DE PREÇOS,5,15-05-2012 08:30,,25-04-2012,Encerrado,"Contratação de empresa para execução de obras de engenharia para construção de quadra poliesportiva equipada com alambrado e iluminação na Escola Municipal Dom Pedro II, localizada na Fazenda Buriti Alto, Comunidade das Três Barras, no município de Prata-MG, conforme termos do Convênio nº 245/2011/SEEJ, celebrado entre a Secretaria de esportes e da Juventude de Minas Gerais e o Município de Prata-MG.",,,,,
76/2012,PREGÃO PRESENCIAL,40,14-05-2012 13:00,,30-04-2012,Encerrado,"Contratação de empresa especializada para execução de serviços afetos à Agência Transfusional, do Município de Prata-MG, localizada no Hospital Renascer, situado a Rua Tenente Reis, nº 945.",,,,,
87/2012,DISPENSA DE LICITAÇÃO,19,14-05-2012 10:30,,30-05-2012,Encerrado,"Contração de empresa especializada para locação de 01 (um) veículo tipo VAN com capacidade de até 16 (dezesseis) lugares para serviços de transporte intermunicipal de pacientes que se submetem a tratamento de hemodiálise em Uberlândia-MG, atendendo as necessidades do Departamento de Saúde.",,,,,
67/2012,CHAMADA PUBLICA,1,14-05-2012 08:30,,23-04-2012,Encerrado,"Aquisição de gêneros alimentícios da agricultura familiar para alimentação escolar com dispensa de licitação, Lei nº. 11.947, de 16/07/2009, Resolução nº. 38 do FNDE, de 16/07/2009.",,,,,
69/2012,PREGÃO PRESENCIAL,39,10-05-2012 08:30,,24-04-2012,Encerrado,Aquisição de materiais esportivos para atendimento ao Centro de Esporte e Lazer - CEL e das Praças de Esportes do Município.,,,,,
68/2012,PREGÃO PRESENCIAL,38,09-05-2012 08:30,,24-04-2012,Fracassado,Aquisição de uniformes e materiais para os Agentes de Endemias que trabalham junto à Vigilância Epidemiológica da Prefeitura Municipal de Prata.,,,,,
80/2012,INEXIGIBILIDADE DE LICITAÇÃO,11,08-05-2012 13:00,,11-05-2012,Encerrado,"Contratação de empresa para prestação de serviços técnicos e administrativos com fornecimento de materiais e equipamentos estratégicos para serem aplicados em extensão, modificação, remoção, substituição e instalação de rede de distribuição urbana do município de Prata-MG.",,,,,
65/2012,PREGÃO PRESENCIAL,37,08-05-2012 08:30,,20-04-2012,Encerrado,"Contratação de empresa especializada em locação, montagem e desmontagem de som com iluminação, bem como tendas, para atender as demandas provenientes dos eventos da Prefeitura Municipal de Prata-MG.",,,,,
