,0,1,2,3,Aditivo,Beneficiário,CNPJ Beneficiário,Categoria do convênio,Contrapartida (R$),Convênio,Data da publicação,Data da situação,Entidade,Filtros utilizados para elaboração da consulta,Motivo,Não há documentos vinculados para este convênio.,Objeto,Período de vigência final,Repasse (R$),Selecione o formato que deseja exportar,Situação,Tipo de convênio,Total (R$),Total conveniado no período para a entidade,Vigência,Órgão concedente,EXECUÇÃO DO PROJETO ESCOTISMO,cooperação entre as partes para a execução do projeto Escotismo,Ano,Concedido (R$),Conta,Mês,Recebido (R$)
35,,,,,,,,,,CONV 10/2021,,,,,,,,,,,,Outros,"158.786,16",,10/05/2021 à 31/12/2024,,,,,,,,
36,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  21/05/2021  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  propiciar à AMIG mecanismos para que atue na defesa dos interesses da arrecadação municipal nos repasses pela exploração de recursos minerais, representando o MUNICÍPIO judicial ou extrajudicialmente em todas as ações concernentes à execução deste convênio.  Aditivo:  TA 01 CONV 10/20  Vigência:  22/03/2022 à 31/12/2022  Tipo de convênio:  Outros  Total (R$):  158.786,16  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  22/03/2022  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DA VIGENCIA E REPASSE DE VALORES",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  21/05/2021  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  propiciar à AMIG mecanismos para que atue na defesa dos interesses da arrecadação municipal nos repasses pela exploração de recursos minerais, representando o MUNICÍPIO judicial ou extrajudicialmente em todas as ações concernentes à execução deste convênio.  Aditivo:  TA 01 CONV 10/20  Vigência:  22/03/2022 à 31/12/2022  Tipo de convênio:  Outros  Total (R$):  158.786,16  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  22/03/2022  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DA VIGENCIA E REPASSE DE VALORES","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  21/05/2021  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  propiciar à AMIG mecanismos para que atue na defesa dos interesses da arrecadação municipal nos repasses pela exploração de recursos minerais, representando o MUNICÍPIO judicial ou extrajudicialmente em todas as ações concernentes à execução deste convênio.  Aditivo:  TA 01 CONV 10/20  Vigência:  22/03/2022 à 31/12/2022  Tipo de convênio:  Outros  Total (R$):  158.786,16  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  22/03/2022  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DA VIGENCIA E REPASSE DE VALORES",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  21/05/2021  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  propiciar à AMIG mecanismos para que atue na defesa dos interesses da arrecadação municipal nos repasses pela exploração de recursos minerais, representando o MUNICÍPIO judicial ou extrajudicialmente em todas as ações concernentes à execução deste convênio.  Aditivo:  TA 01 CONV 10/20  Vigência:  22/03/2022 à 31/12/2022  Tipo de convênio:  Outros  Total (R$):  158.786,16  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  AMIG  CNPJ Beneficiário:  25.701.780/0001-28  Data da publicação:  22/03/2022  Repasse (R$):  158.786,16 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DA VIGENCIA E REPASSE DE VALORES",,,,,,,,
37,,,,,,,,,,Conv 14/2021,,,,,,,,,,,,Outros,"20.323,85",,10/08/2021 à 31/12/2024,,,,,,,,
38,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACO - ASSOC. MUNICÍPIOS CIRCUITO TURÍSTICO DO OURO  CNPJ Beneficiário:  04.486.682/0001-45  Data da publicação:  24/08/2021  Repasse (R$):  20.323,85 Contrapartida (R$):  0,00  Objeto:  Efetivação de atividades para o desenvolvimento do turismo na região, o mapeamento da execução das políticas públicas de turismo nos municípios associados, o alcance da região do Circuito do Ouro e seus municípios para o público final (turistas e visitantes), agências e formadores de opinião (jornalistas, blogueiros e diversas lideranças), dentre outras atividades expressas no Plano de Trabalho, mediante a disponibilização de recursos financeiros e operacionais para a manutenção da CONVENENTE.  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACO - ASSOC. MUNICÍPIOS CIRCUITO TURÍSTICO DO OURO  CNPJ Beneficiário:  04.486.682/0001-45  Data da publicação:  24/08/2021  Repasse (R$):  20.323,85 Contrapartida (R$):  0,00  Objeto:  Efetivação de atividades para o desenvolvimento do turismo na região, o mapeamento da execução das políticas públicas de turismo nos municípios associados, o alcance da região do Circuito do Ouro e seus municípios para o público final (turistas e visitantes), agências e formadores de opinião (jornalistas, blogueiros e diversas lideranças), dentre outras atividades expressas no Plano de Trabalho, mediante a disponibilização de recursos financeiros e operacionais para a manutenção da CONVENENTE.  Não existem aditivos vinculados ao convênio.","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACO - ASSOC. MUNICÍPIOS CIRCUITO TURÍSTICO DO OURO  CNPJ Beneficiário:  04.486.682/0001-45  Data da publicação:  24/08/2021  Repasse (R$):  20.323,85 Contrapartida (R$):  0,00  Objeto:  Efetivação de atividades para o desenvolvimento do turismo na região, o mapeamento da execução das políticas públicas de turismo nos municípios associados, o alcance da região do Circuito do Ouro e seus municípios para o público final (turistas e visitantes), agências e formadores de opinião (jornalistas, blogueiros e diversas lideranças), dentre outras atividades expressas no Plano de Trabalho, mediante a disponibilização de recursos financeiros e operacionais para a manutenção da CONVENENTE.  Não existem aditivos vinculados ao convênio.",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACO - ASSOC. MUNICÍPIOS CIRCUITO TURÍSTICO DO OURO  CNPJ Beneficiário:  04.486.682/0001-45  Data da publicação:  24/08/2021  Repasse (R$):  20.323,85 Contrapartida (R$):  0,00  Objeto:  Efetivação de atividades para o desenvolvimento do turismo na região, o mapeamento da execução das políticas públicas de turismo nos municípios associados, o alcance da região do Circuito do Ouro e seus municípios para o público final (turistas e visitantes), agências e formadores de opinião (jornalistas, blogueiros e diversas lideranças), dentre outras atividades expressas no Plano de Trabalho, mediante a disponibilização de recursos financeiros e operacionais para a manutenção da CONVENENTE.  Não existem aditivos vinculados ao convênio.",,,,,,,,
39,,,,,,,,,,CONV 18/2021,,,,,,,,,,,,Outros,"100.000,00",,01/12/2021 à 31/03/2022,,,,,,,,
40,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO HOSPITALAR BOM JESUS  CNPJ Beneficiário:  19.692.755/0001-22  Data da publicação:  21/12/2021  Repasse (R$):  100.000,00 Contrapartida (R$):  0,00  Objeto:  Repasse de recursos financeiros à AHBJ para reforço do custeio das ações e serviços de saúde, a título de incentivo na Política de Atenção Hospitalar - Valor em Saúde, de estabelecimentos de saúde relacionados aos recursos provenientes da Resolução SES/MG 7.590, de 01 de julho de 2021.  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO HOSPITALAR BOM JESUS  CNPJ Beneficiário:  19.692.755/0001-22  Data da publicação:  21/12/2021  Repasse (R$):  100.000,00 Contrapartida (R$):  0,00  Objeto:  Repasse de recursos financeiros à AHBJ para reforço do custeio das ações e serviços de saúde, a título de incentivo na Política de Atenção Hospitalar - Valor em Saúde, de estabelecimentos de saúde relacionados aos recursos provenientes da Resolução SES/MG 7.590, de 01 de julho de 2021.  Não existem aditivos vinculados ao convênio.","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO HOSPITALAR BOM JESUS  CNPJ Beneficiário:  19.692.755/0001-22  Data da publicação:  21/12/2021  Repasse (R$):  100.000,00 Contrapartida (R$):  0,00  Objeto:  Repasse de recursos financeiros à AHBJ para reforço do custeio das ações e serviços de saúde, a título de incentivo na Política de Atenção Hospitalar - Valor em Saúde, de estabelecimentos de saúde relacionados aos recursos provenientes da Resolução SES/MG 7.590, de 01 de julho de 2021.  Não existem aditivos vinculados ao convênio.",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO HOSPITALAR BOM JESUS  CNPJ Beneficiário:  19.692.755/0001-22  Data da publicação:  21/12/2021  Repasse (R$):  100.000,00 Contrapartida (R$):  0,00  Objeto:  Repasse de recursos financeiros à AHBJ para reforço do custeio das ações e serviços de saúde, a título de incentivo na Política de Atenção Hospitalar - Valor em Saúde, de estabelecimentos de saúde relacionados aos recursos provenientes da Resolução SES/MG 7.590, de 01 de julho de 2021.  Não existem aditivos vinculados ao convênio.",,,,,,,,
41,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ODT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,TA 01 CONV 10/20,ASSOCIAÇÃO HOSPITALAR BOM JESUS,19.692.755/0001-22, *,"0,00",,21/12/2021,31/12/2021, *,Entidade: PREFEITURA MUNICIPAL DE CONGONHAS | Categoria do convênio: Repassados | Período de vigência inicial: 01/01/2022 | Período de vigência final: 31/12/2022,Prazo/Valor,,"Repasse de recursos financeiros à AHBJ para reforço do custeio das ações e serviços de saúde, a título de incentivo na Política de Atenção Hospitalar - Valor em Saúde, de estabelecimentos de saúde relacionados aos recursos provenientes da Resolução SES/MG 7.590, de 01 de julho de 2021.",Cancelar,"100.000,00",PDF,Em andamento,Outros,"158.786,16",PREFEITURA MUNICIPAL DE CONGONHAS,22/03/2022 à 31/12/2022,MUNICÍPIO DE CONGONHAS,,,,,,,
46,,Total conveniado no período para a entidade:,PREFEITURA MUNICIPAL DE CONGONHAS,"11.808.754,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA-1 TC 002/18  Vigência:  30/07/2018 à 15/02/2019  Tipo de convênio:  Outros  Total (R$):  0,00  Motivo:  Outros  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  06/08/2018  Repasse (R$):  0,00 Contrapartida (R$):  0,00  Objeto:  ALTERAÇÃO DO PLANO DE TRABALHO SEM ALTERAÇÃO DO VALOR  Aditivo:  TA-02 TC 002/18  Vigência:  22/01/2019 à 31/12/2019  Tipo de convênio:  Outros  Total (R$):  82.575,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente: Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  30/01/2019  Repasse (R$):  82.575,00 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DE PRAZO DO CONVÊNIO TC002/2018 E ALTERAÇÃO DO PLANO DE TRABALHO",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA-1 TC 002/18  Vigência:  30/07/2018 à 15/02/2019  Tipo de convênio:  Outros  Total (R$):  0,00  Motivo:  Outros  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  06/08/2018  Repasse (R$):  0,00 Contrapartida (R$):  0,00  Objeto:  ALTERAÇÃO DO PLANO DE TRABALHO SEM ALTERAÇÃO DO VALOR  Aditivo:  TA-02 TC 002/18  Vigência:  22/01/2019 à 31/12/2019  Tipo de convênio:  Outros  Total (R$):  82.575,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente: Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  30/01/2019  Repasse (R$):  82.575,00 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DE PRAZO DO CONVÊNIO TC002/2018 E ALTERAÇÃO DO PLANO DE TRABALHO","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA-1 TC 002/18  Vigência:  30/07/2018 à 15/02/2019  Tipo de convênio:  Outros  Total (R$):  0,00  Motivo:  Outros  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  06/08/2018  Repasse (R$):  0,00 Contrapartida (R$):  0,00  Objeto:  ALTERAÇÃO DO PLANO DE TRABALHO SEM ALTERAÇÃO DO VALOR  Aditivo:  TA-02 TC 002/18  Vigência:  22/01/2019 à 31/12/2019  Tipo de convênio:  Outros  Total (R$):  82.575,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente: Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  30/01/2019  Repasse (R$):  82.575,00 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DE PRAZO DO CONVÊNIO TC002/2018 E ALTERAÇÃO DO PLANO DE TRABALHO",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA-1 TC 002/18  Vigência:  30/07/2018 à 15/02/2019  Tipo de convênio:  Outros  Total (R$):  0,00  Motivo:  Outros  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  06/08/2018  Repasse (R$):  0,00 Contrapartida (R$):  0,00  Objeto:  ALTERAÇÃO DO PLANO DE TRABALHO SEM ALTERAÇÃO DO VALOR  Aditivo:  TA-02 TC 002/18  Vigência:  22/01/2019 à 31/12/2019  Tipo de convênio:  Outros  Total (R$):  82.575,00  Motivo:  Prazo/Valor  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente: Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  30/01/2019  Repasse (R$):  82.575,00 Contrapartida (R$):  0,00  Objeto:  PRORROGAÇÃO DE PRAZO DO CONVÊNIO TC002/2018 E ALTERAÇÃO DO PLANO DE TRABALHO",,,,,,,,
48,,,,,,,,,,TF04/2019,,,,,,,,,,,,Outros,"265.160,20",,22/08/2019 à 31/03/2020,,,,,,,,
49,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CASA DE CONVIVÊNCIA DOM LUCIANO  CNPJ Beneficiário:  17.159.250/0001-71  Data da publicação:  22/08/2019  Repasse (R$):  265.160,20 Contrapartida (R$):  0,00  Objeto:  PROGRAMA QUE VISA PROMOVER A FORMAÇÃO INTEGRAL DE CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE VULNERABILIDADE  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CASA DE CONVIVÊNCIA DOM LUCIANO  CNPJ Beneficiário:  17.159.250/0001-71  Data da publicação:  22/08/2019  Repasse (R$):  265.160,20 Contrapartida (R$):  0,00  Objeto:  PROGRAMA QUE VISA PROMOVER A FORMAÇÃO INTEGRAL DE CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE VULNERABILIDADE  Não existem aditivos vinculados ao convênio.","Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CASA DE CONVIVÊNCIA DOM LUCIANO  CNPJ Beneficiário:  17.159.250/0001-71  Data da publicação:  22/08/2019  Repasse (R$):  265.160,20 Contrapartida (R$):  0,00  Objeto:  PROGRAMA QUE VISA PROMOVER A FORMAÇÃO INTEGRAL DE CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE VULNERABILIDADE  Não existem aditivos vinculados ao convênio.",,"Situação:  Finalizado  Situação:  Finalizado  Data da situação:  31/12/2020  Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  CASA DE CONVIVÊNCIA DOM LUCIANO  CNPJ Beneficiário:  17.159.250/0001-71  Data da publicação:  22/08/2019  Repasse (R$):  265.160,20 Contrapartida (R$):  0,00  Objeto:  PROGRAMA QUE VISA PROMOVER A FORMAÇÃO INTEGRAL DE CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE VULNERABILIDADE  Não existem aditivos vinculados ao convênio.",,,,,,,,
50,,,,,,,,,,CONV 02/18,,,,,,,,,,,,Contribuição,"120.000,00",,10/05/2018 à 31/12/2018,,,,,,,,
51,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  15/04/2018  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA A MANUTENÇÃO DA AMALPA - ASSOCIAÇÃO DOS MUNICÍPIOS DO ALTO PARAOPEBA  Aditivo:  TA-01 CONV 02/18  Vigência:  02/01/2019 à 31/12/2020  Tipo de convênio:  Contribuição  Total (R$):  120.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  AMALPA  CNPJ Beneficiário:  19.381.672/0001-12  Data da publicação:  11/04/2019  Repasse (R$):  120.000,00 Contrapartida (R$):  0,00  Objeto:  REPASSE DE CONTRIBUIÇÕES PARA MANUTENÇÃO DA AMALPA",,,,,,,,
52,,,,,,,,,,CV 06/2018,,,,,,,,,,,,Subvenção,"3.380.000,00",,26/06/2018 à 31/07/2019,,,,,,,,
