,Arquivo,Periodicidade,Publicado em,Ano,Mês,Descrição,Documentos,Tamanho,Acesso à informaçãoAcesso Rápido,Acesso Rápido,"Lei que estabelece de forma regionalizada as diretrizes, objetivos e metas da Administração Pública para as despesas de capital e outras delas decorrentes e para as relativas aos programas de duração continuada.Fonte",Fonte,O conteúdo deste portal está licenciado com uma Licença Creative Commons 4.0 Internacional.Versão,Versão,Tamanho da página,"O Balanço Anual é composto pelo conjunto das demonstrações contábeis aplicadas à Administração Pública e tem como objetivo fornecer aos usuários, de forma consolidada e sintética, as informações sobre os resultados alcançados e os aspectos de natureza orçamentária, financeira, econômica e patrimonial acerca do patrimônio destas entidades, em apoio ao processo de tomada de decisão, à adequada prestação de contas aos órgãos de controle e ao indispensável suporte para a instrumentalização do controle social.Fonte","Lei especial que contém a discriminação da receita e da despesa pública, de forma a evidenciar a política econômica financeira e o programa de trabalho do governo, obedecidos os princípios de unidade, universalidade e anualidade.Fonte","Lei que compreende às metas e prioridades da Administração Pública, incluindo as despesas de capital para o exercício financeiro subseqüente, orienta a elaboração da Lei Orçamentária Anual, dispõe sobre as alterações na legislação tributária e estabelece a política de aplicação das agências financeiras oficiais de fomento.Fonte","A Constituição Federal exige em seu artigo 165, §3º, que o Poder Executivo publicará, no prazo de trinta dias após o encerramento de cada bimestre, o Relatório Resumido de Execução Orçamentária (RREO). A Lei Complementar nº 101/2000, estabelece as normas para sua elaboração e publicação. Este abrange os órgãos que recebam recursos dos orçamentos fiscal e da seguridade social, inclusive sob a forma de subvenções para pagamento de pessoal ou de custeio em geral ou de capital.Fonte","O Relatório de Gestão Fiscal objetiva o controle, o monitoramento e a publicidade do cumprimento dos limites estabelecidos pela Lei de Responsabilidade Fiscal",isvalid
11,,,,,,,,,Pesquisar,Pesquisar,,Tesouro Nacional., 2.22.0.76-3373, 2.22.0.76-3373,10, Tesouro Nacional.,,,,,False
12,,Anual,13/09/2022,2021.0,,LEI DE DIRETRIZ ORÇAMENTÁRIA 2021 - LOA 2021,LOA 2021.PDF,"1,91MB",,,,,,,,,,,,,True
13,,Anual,13/09/2022,2022.0,,LEI ORÇAMENTÁRIA ANUAL - LOA 2022 E ANEXOS,LOA 2022.pdf,"2,07MB",,,,,,,,,,,,,True
14,,Anual,19/03/2020,2020.0,,LOA 2020,Lei 4008 LOA 2020.pdf,"2,11MB",,,,,,,,,,,,,True
15,,Anual,25/02/2019,2019.0,,LOA 2019,LOA 2019.pdf,"0,38MB",,,,,,,,,,,,,True
16,,Anual,27/07/2018,2017.0,,Lei Orçamentária Anual 2017,LOA 2017 Lei 3.648.pdf,"0,17MB",,,,,,,,,,,,,True
17,,Anual,26/01/2018,2018.0,,"Lei n. 3.791/2017, Lei Orçamentária Anual para o exercício de 2018.",Lei Municipal n 3.791 de 11 12 2017 LOA 2018.pdf,"3,89MB",,,,,,,,,,,,,True
18,,Anual,12/07/2016,2015.0,,LOA - Lei Orçamentária Anual - 2015,LOA15.pdf,"2,17MB",,,,,,,,,,,,,True
19,,Anual,12/01/2016,2016.0,,"ESTABELECE PROPOSTA ORÇAMENTÁRIA, ESTIMANDO A RECEITA E FIXANDO A DESPESA DO MUNICÍPIO DE MANHUAÇU PARA O EXERCÍCIO DE 2016.",LOA 2016.pdf,"4,01MB",,,,,,,,,,,,,True
20,,,,,,,,,Pesquisar,Pesquisar,,Tesouro Nacional., 2.22.0.76-3373, 2.22.0.76-3373,10,, Tesouro Nacional.,,,,False
21,,Anual,12/09/2022,2022.0,,Lei de Diretrizes Orçamentárias de 2022,LDO 2022.pdf,"18,60MB",,,,,,,,,,,,,True
22,,Anual,12/09/2022,2021.0,,Lei de Diretrizes Orçamentárias de Manhuaçu de 2021,LDO 2021.pdf,"0,75MB",,,,,,,,,,,,,True
23,,Anual,19/03/2020,2020.0,,LDO,Lei n 3957 080719 LDO 2020.pdf,"29,24MB",,,,,,,,,,,,,True
24,,Anual,18/10/2019,2019.0,,Lei de Diretrizes Orçamentárias para Exercício 2020,LDO 2020 3957 080719.pdf,"0,48MB",,,,,,,,,,,,,True
25,,Anual,25/02/2019,2019.0,,Lei de Diretrizes Orçamentárias para Exercicio 2019,LDO 2019.pdf,"0,41MB",,,,,,,,,,,,,True
26,,Anual,27/07/2018,2017.0,,Lei de Diretrizes Orçamentária para orçamento exercício 2017.,LDO 2017 Lei 3.627.pdf,"0,45MB",,,,,,,,,,,,,True
27,,Anual,26/01/2018,2018.0,,"Lei n. 3.736/2017, Diretrizes Orçamentárias para o exercício de 2018.",Lei Municipal n 3.736 de 31 07 2017 LDO 2018.pdf,"65,89MB",,,,,,,,,,,,,True
28,,Mensal,12/05/2017,2016.0,Janeiro,1.18 - Demonstrativo da Dívida - Janeiro 2016,1.18 - Demonstrativo da Dívida - Janeiro 2016.pdf,"0,08MB",,,,,,,,,,,,,True
29,,Anual,12/07/2016,2016.0,,Lei de Diretrizes Orçamentárias - 2016,LDO16.pdf,"1,19MB",,,,,,,,,,,,,True
30,,Anual,12/07/2016,2015.0,,LDO - Lei de Diretrizes Orçamentárias - 2015,LDO15.pdf,"4,73MB",,,,,,,,,,,,,True
31,,,,,,,,,Pesquisar,Pesquisar,,Tesouro Nacional., 2.22.0.76-3373, 2.22.0.76-3373,10,,, Tesouro Nacional.,,,False
32,,Bimestral,30/09/2020,2020.0,,Relatório Resumido da Execução Orçamentária RREO 4Bimestre,SICONFI_RREO BIMESTRAL_4.pdf,"0,43MB",,,,,,,,,,,,,True
33,,Bimestral,30/09/2020,2020.0,,Relatório resumido da Execução Orçamentária RREO 3Bimestre,SICONFI_RREO BIMESTRAL_3.pdf,"0,43MB",,,,,,,,,,,,,True
34,,Bimestral,30/09/2020,2020.0,,Relatório resumido da Execução Orçamentária RREO 2Bimestre,SICONFI_RREO BIMESTRAL_2.pdf,"0,43MB",,,,,,,,,,,,,True
35,,Bimestral,30/09/2020,2020.0,,Relatório resumido da Execução Orçamentária RREO 1Bimestre,SICONFI_RREO BIMESTRAL_1.pdf,"0,43MB",,,,,,,,,,,,,True
36,,Bimestral,03/04/2020,2019.0,,RREO 6 BIMESTRE 2019,RREO - Relatório Resumido de Execução Orçamentária - 6º bimestre 2019.pdf,"0,47MB",,,,,,,,,,,,,True
37,,Bimestral,03/04/2020,2019.0,,RREO 5 BIMESTRE 2019,RREO - Relatório Resumido de Execução Orçamentária - 5º bimestre 2019.pdf,"0,42MB",,,,,,,,,,,,,True
38,,Bimestral,03/04/2020,2019.0,,RREO 3 BIMESTRE 2019,RREO - Relatório Resumido de Execução Orçamentária - 3º bimestre 2019.pdf,"0,40MB",,,,,,,,,,,,,True
39,,Bimestral,03/04/2020,2019.0,,RREO 2 BIMESTRE 2019,RREO - Relatório Resumido de Execução Orçamentária - 2º bimestre 2019.pdf,"0,42MB",,,,,,,,,,,,,True
40,,Bimestral,03/04/2020,2019.0,,RREO 1 BIMESTRE 2019,RREO - Relatório Resumido de Execução Orçamentária - 1º bimestre 2019.pdf,"0,42MB",,,,,,,,,,,,,True
41,,Bimestral,18/10/2019,2019.0,,RREO 4° Bimestre 2019,RREO 4 BIMESTRE.pdf,"0,42MB",,,,,,,,,,,,,True
42,,Bimestral,06/12/2018,2018.0,,Relatorio Execucao Orçamentaria 5 BIMENSTRE 2018,Relatorio Execucao Orçamentaria 5 BIMENSTRE 2018.pdf,"0,43MB",,,,,,,,,,,,,True
43,,Bimestral,08/10/2018,2018.0,,Relatorio Execução orçamentaria 4 Bimestre 2018,SICONFI_RREO_5607_BIMESTRAL_4.pdf,"0,43MB",,,,,,,,,,,,,True
44,,Bimestral,27/07/2018,2018.0,,Relatorio ExecucaoOrçamentaria 3 BIMESTRE 2018,Relatorio ExecucaoOrçamentaria 3 BIMESTRE 2018.pdf,"0,41MB",,,,,,,,,,,,,True
45,,Bimestral,27/07/2018,2018.0,,Relatorio ExecucaoOrçamentaria 2 BIMESTRE 2018,Relatorio ExecucaoOrçamentaria 2 BIMESTRE 2018.pdf,"0,43MB",,,,,,,,,,,,,True
46,,Bimestral,27/07/2018,2018.0,,Relatorio ExecucaoOrçamentaria 1 BIMESTRE 2018,Relatorio ExecucaoOrçamentaria 1 BIMESTRE 2018.pdf,"0,43MB",,,,,,,,,,,,,True
47,,Bimestral,27/07/2018,2017.0,,Relatorio Execucao Orçamentaria 6 BIMESTRE 2017,Relatorio ExecucaoOrçamentaria 6 BIMESTRE 2017.pdf,"0,44MB",,,,,,,,,,,,,True
48,,Bimestral,27/07/2018,2017.0,,Relatorio Execucao Orçamentaria 5 BIMESTRE 2017,Relatorio ExecucaoOrçamentaria 5 BIMESTRE 2017.pdf,"0,41MB",,,,,,,,,,,,,True
49,,Bimestral,27/07/2018,2017.0,,Relatorio Execucao Orçamentaria 4 BIMESTRE 2017,Relatorio ExecucaoOrçamentaria 4 BIMESTRE 2017.pdf,"0,40MB",,,,,,,,,,,,,True
50,,Bimestral,27/07/2018,2017.0,,Relatorio Execucao Orçamentaria 3 BIMESTRE 2017,Relatorio ExecucaoOrçamentaria 3 BIMESTRE 2017.pdf,"0,41MB",,,,,,,,,,,,,True
51,,Bimestral,27/07/2018,2017.0,,Relatorio Execucao Orçamentaria 2 BIMESTRE 2017,Relatorio ExecucaoOrçamentaria 2 BIMESTRE 2017.pdf,"0,40MB",,,,,,,,,,,,,True
52,,,,,,,,,Pesquisar,Pesquisar,,Tesouro Nacional., 2.22.0.76-3373, 2.22.0.76-3373,10,,,, Tesouro Nacional.,,False
53,,Quadrimestral,30/09/2020,2020.0,,Relatório Gestão Fiscal RGF 2Quadrimestre,SICONFI_RGF QUADRIMESTRAL_2.pdf,"0,13MB",,,,,,,,,,,,,True
54,,Quadrimestral,30/09/2020,2020.0,,Relatório da Festão Fiscal RGF 1Quadrimestre,SICONFI_RGF QUADRIMESTRAL_1.pdf,"0,13MB",,,,,,,,,,,,,True
55,,Quadrimestral,03/04/2020,2019.0,,RGF 3 QUADRIMESTRE 2019,RGF - Relatório de Gestão Fiscal - 3º quadrimestre 2019 (1).pdf,"0,14MB",,,,,,,,,,,,,True
56,,Quadrimestral,03/04/2020,2019.0,,RGF 1 QUADRIMESTRE 2019,RGF - Relatório de Gestão Fiscal - 1º quadrimestre 2019 (1).pdf,"0,12MB",,,,,,,,,,,,,True
57,,Quadrimestral,18/10/2019,2019.0,,Relatório Gestão Fiscal 2º Quadrimestre 2019,RGF - Relatório de Gestão Fiscal - 2º quadrimestre 2019.pdf,"0,13MB",,,,,,,,,,,,,True
58,,Quadrimestral,08/10/2018,2018.0,,Relatorio Gestao Fiscal 2 QUADRIMESTRE 2018,SICONFI_RGF_5607_QUADRIMESTRAL_2.pdf,"0,14MB",,,,,,,,,,,,,True
59,,Quadrimestral,27/07/2018,2018.0,,Relatorio Gestao Fiscal 1 QUADRIMESTRE 2018,Relatorio Gestao Fiscal 1 QUADRIMESTRE 2018.pdf,"0,14MB",,,,,,,,,,,,,True
60,,Quadrimestral,27/07/2018,2017.0,,Relatorio Gestao Fiscal 3 QUADRIMESTRE 2017,Relatorio Gestao Fiscal 3 QUADRIMESTRE 2017.pdf,"0,13MB",,,,,,,,,,,,,True
61,,Quadrimestral,27/07/2018,2017.0,,Relatorio Gestao Fiscal 2 QUADRIMESTRE 2017,Relatorio Gestao Fiscal 2 QUADRIMESTRE 2017.pdf,"0,12MB",,,,,,,,,,,,,True
62,,Quadrimestral,27/07/2018,2017.0,,Relatorio Gestao Fiscal 1 QUADRIMESTRE 2017,Relatorio Gestao Fiscal 1 QUADRIMESTRE 2017.pdf,"0,12MB",,,,,,,,,,,,,True
63,,Anual,30/05/2017,2016.0,,RGF - Anexo 5 - Demonstrativo da Disponibilidade de Caixa e dos Restos a Pagar - Anual 2016,1 - RGF - Anexo 5 - Demonstrativo da Disponibilidade de Caixa e dos Restos a Pagar - Anual 2016.pdf,"0,02MB",,,,,,,,,,,,,True
64,,Semestral,30/05/2017,2016.0,,LRF/RGF - Anexo 6 - 2° Simestre 2016,RGF - Anexo 6 - Demonstrativo Simplificado do Relatório de Gestão Fiscal - 2° Simestre 2016.pdf,"0,01MB",,,,,,,,,,,,,True
65,,Semestral,30/05/2017,2016.0,,LRF/RGF - Anexo 1 - 2° Semestre 2016,RGF - Anexo I - Demonstrativo da Despesa com Pessoal - 2° Semestre 2016.pdf,"0,01MB",,,,,,,,,,,,,True
66,,Quadrimestral,29/05/2017,2016.0,,RGF - Anexo 2 - Demonstrativo da Dívida Consolidada Líquida - 3° Quadrimestre 2016,3.4 - RGF - Anexo 2 - Demonstrativo da Dívida Consolidada Líquida - 3° Quadrimestre 2016.pdf,"0,02MB",,,,,,,,,,,,,True
67,,Quadrimestral,29/05/2017,2016.0,,RGF - Anexo 6 - Demosntrativo Simplificado do Relatório de Gestão Fiscal - 3° Quadrimestre 2016,3.3 - RGF - Anexo 6 - Demonstrativo Simplificado do Relatório de Gestão Fiscal - 3° Quadrimestre 2016.pdf,"0,01MB",,,,,,,,,,,,,True
68,,Quadrimestral,29/05/2017,2016.0,,RGF - Anexo 4 - Demonstrativo das Operações de Crédito - 3° Quadrimestre 2016,3.2 - RGF - Anexo 4 - Demonstrativo das Operações de Crédito - 3°Quadrimestre 2016.pdf,"0,01MB",,,,,,,,,,,,,True
69,,Quadrimestral,29/05/2017,2016.0,,RGF - Anexo 3 - Demonstrativo das Garantias e Contragarantias de Valores - 3° Bimestre 2016,3.1 - RGF - Anexo 3 - Demonstrativo das Garantias e Contragarantias de Valores - 3° Bimestre 2016.pdf,"0,01MB",,,,,,,,,,,,,True
70,,Quadrimestral,29/05/2017,2016.0,,RGF - Anexo 1 - Demonstrativo da Despesa com Pessoal - 3° Quadrimestre 2016,3 - RGF - Anexo 1 - Demonstrativo da Despesa com Pessoal - 3° Quadrimestre 2016.pdf,"0,01MB",,,,,,,,,,,,,True
71,,Quadrimestral,26/05/2017,2016.0,,RGF - Anexo 2 - Demonstrativo da Dívida Consolidada Líquida - 2° Quadrimestre 2016,2.4 - RGF - Anexo 2 - Demonstrativo da Dívida Consolidada Líquida - 2° Quadrimestre 2016.pdf,"0,02MB",,,,,,,,,,,,,True
72,,Quadrimestral,25/05/2017,2016.0,,RGF - Anexo 6 - Demonstrativo Simplificado do Relátorio de Gestão Fiscal - 2° Quadrimestre 2016,2.3 - RGF - Anexo 6 - Demonstrativo Simplificado do Relátorio de Gestão Fiscal - 2° Quadrimestre 2016.pdf,"0,01MB",,,,,,,,,,,,,True
73,,,,,,,,,Pesquisar,Pesquisar,,Tesouro Nacional., 2.22.0.76-3373, 2.22.0.76-3373,10,,,,," Despesas com Pessoal, Dívida Consolidada Líquida, Concessão de Garantias e Contratação de Operações de Crédito. Todos esses limites são definidos em percentuais da Receita Corrente Líquida (RCL), que é apurada em demonstrativo próprio. Ao final do exercício, a LRF exige ainda a publicação de demonstrativos que evidenciem as Disponibilidades de Caixa e a Inscrição de Restos a Pagar.",False
