,N° Processo,N° Contrato,Modalidade,Tipo,Data do Aditivo,Abertura,Objeto,Valor,Datas,Situação,Editais de Licitação e Demais Arquivos,
11, 000080/2021," 0370/2021
",Pregão,Menor Preço,,25/11/2021,"AQUISICAO DE CAMINHAO DOTADO DE EQUIPAMENTO COLETOR COMPACTADOR DE RESIDUOS - COLETA TRASEIRA - COM CAPACIDADE MINIMA DE 12 M³, 0 KM (ZERO KILOMETRO) PARA O ATENDIMENTO A SECRETARIA MUNICIPAL DE OBRAS E SERVICOS URBANOS DESTE MUNICIPIO.",505000,"Edital: 10/11/2021
Homologação: 01/12/2021
Julgamento: 25/11/2021
Adjudicação: 25/11/2021
Data de publicação: 11/11/2021
Prazo de Execução: 12 Meses
",Finalizado,,
12, 000078/2021," 0369/2021
",Pregão,Menor Preço,,23/11/2021,"CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICO ARTISTICO PARA A REALIZACAO DE SHOWS NAS ""FESTIVIDADES DE FIM DE ANO"" NO MUNICIPIO DE CAREACU/MG.",39900,"Edital: 08/11/2021
Homologação: 29/11/2021
Julgamento: 23/11/2021
Adjudicação: 23/11/2021
Data de publicação: 08/11/2021
Prazo de Execução: 3 Dias
",Finalizado,,
13, 000077/2021," 0366/2021
 0367/2021
 0368/2021
 0365/2021
 0364/2021
",Pregão,Menor Preço,,19/11/2021,"AQUISICAO DE MATERIAIS DE CONTRUCAO, PARA O ATENDIMENTO AO SETOR DE ASSISTENCIA SOCIAL DO MUNICIPIO DE CAREACU-MG.",1071721.5,"Edital: 04/11/2021
Homologação: 25/11/2021
Julgamento: 19/11/2021
Adjudicação: 19/11/2021
Data de publicação: 04/11/2021
Prazo de Execução: 12 Meses
",Finalizado,,
14, 000076/2021," 0362/2021
 0363/2021
",Pregão,Menor Preço,,18/11/2021,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE GENEROS ALIMENTICIOS E UTENSILIOS, PARA ATENDIMENTO AO CRAS (CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL) DA PREFEITURA MUNICIPAL.",74583.66,"Edital: 03/11/2021
Homologação: 24/11/2021
Julgamento: 18/11/2021
Adjudicação: 18/11/2021
Data de publicação: 03/11/2021
Prazo de Execução: 12 Meses
",Finalizado,,
15, 000075/2021," 0350/2021
",Dispensa,Menor Preço,,15/10/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE EQUIPAMENTOS DE CENTRAL TELEFONICA DE PABX E INSTALACAO PARA O PACO MUNICIPAL.,8524,"Homologação: 15/10/2021
Julgamento: 15/10/2021
Adjudicação: 15/10/2021
Prazo de Execução: 12 Meses
",Finalizado,,
16, 000073/2021," 0357/2021
 0355/2021
 0358/2021
 0360/2021
 0359/2021
 0356/2021
",Pregão,Menor Preço,,15/10/2021,AQUISICAO DE OLEO LUBRIFICANTE PARA A MANUTENCAO DOS VEICULOS E MAQUINAS PERTENCENTE A FROTA MUNICIPAL.,913921.5,"Edital: 29/09/2021
Homologação: 04/11/2021
Julgamento: 15/10/2021
Adjudicação: 04/11/2021
Data de publicação: 29/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
17, 000072/2021," 0354/2021
",Pregão,Menor Preço,,14/10/2021,AQUISICAO DE VEICULO CAMIONETE CABINE SIMPLES (PICKUP PEQUENA) ZERO KM PARA O ATENDIMENTO AO SETOR DE EDUCACAO DO MUNICIPIO DE CAREACU-MG.,97000,"Edital: 28/09/2021
Homologação: 22/10/2021
Julgamento: 14/10/2021
Adjudicação: 22/10/2021
Data de publicação: 28/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
18, 000071/2021," 0351/2021
 0352/2021
",Pregão,Menor Preço,,08/10/2021,AQUISICAO DE BLOCOS DE CIMENTO E CANALETAS PARA A MANUTENCAO DO SETOR DE OBRAS E SERVICOS URBANOS E OS DIVERSOS SETORES DA ADMINISTRACAO MUNICIPAL.,161700,"Edital: 24/09/2021
Homologação: 18/10/2021
Julgamento: 08/10/2021
Adjudicação: 08/10/2021
Data de publicação: 24/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
19, 000070/2021," 0335/2021
",Dispensa,Menor Preço,,27/09/2021,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM COLETA, TRANSPORTE, TRATAMENTO E CERTIFICACAO DA DESTINACAO FINAL DE RESIDUOS DE SERVICOS DE SAUDE (RSS), GRUPO A, B E E PARA ATENDER A SECRETARIA MUNICIPAL DE SAUDE E SUAS DIVISOES NO MUNICIPIO DE CAREACU, COM OBJETIVO DE SE ADEQUAR AS NORMAS AMBIENTAIS DE ACORDO COM A RESOLUÇÃO DO CONAMA Nº 358 DE 29 DE ABRIL DE 2005.",14400,"Homologação: 27/09/2021
Julgamento: 27/09/2021
Adjudicação: 27/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
20, 000069/2021," 0349/2021
",Pregão,Menor Preço,,07/10/2021,"CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MEDICAMENTOS ETICOS, COM MAIOR DESCONTO (%) NA TABELA OFICIAL DA CMED/ANVISA, EM ATENDIMENTO DO SETOR DE SAUDE E DA ASSISTENCIA SOCIAL DA PREFEITURA MUNICIPAL DE CAREACU/MG.",Maior Desconto,"Edital: 23/09/2021
Homologação: 15/10/2021
Julgamento: 07/10/2021
Adjudicação: 07/10/2021
Data de publicação: 23/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
21, 000068/2021," 0347/2021
",Pregão,Menor Preço,,01/10/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE CESTAS DE NATAL PARA DISTRIBUICAO AOS SERVIDORES PUBLICOS DOS DIVERSOS SETORES DA ADMINISTRACAO MUNICIPAL.,31320,"Edital: 14/09/2021
Homologação: 07/10/2021
Julgamento: 01/10/2021
Adjudicação: 01/10/2021
Data de publicação: 14/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
22, 000067/2021," 0342/2021
 0343/2021
 0341/2021
",Pregão,Menor Preço,,28/09/2021,AQUISICAO DE CARNES E DERIVADOS PARA ATENDIMENTO AOS SETORES DA EDUCACAO E ADMINISTRACAO DA PREFEITURA MUNICIPAL.,340005,"Edital: 13/09/2021
Homologação: 04/10/2021
Julgamento: 28/09/2021
Adjudicação: 28/09/2021
Data de publicação: 13/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
23, 000066/2021," 0345/2021
 0344/2021
 0346/2021
",Pregão,Menor Preço,,24/09/2021,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE LEITE EM PO PARA ATENDER AS NECESSIDADES DAS SECRETARIAS DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DO MUNICIPIO DE CAREACU-MG.",230226.5,"Edital: 08/09/2021
Homologação: 06/10/2021
Julgamento: 24/09/2021
Adjudicação: 06/10/2021
Data de publicação: 08/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
24, 000065/2021," 0336/2021
",Pregão,Menor Preço,,22/09/2021,"CONTRATACAO DE UMA EMPRESA VISANDO O FORNECIMENTO DE PAES E BISCOITOS, PARA O ATENDIMENTO AOS SETORES DA EDUCACAO, CRAS, SAUDE E ADMINISTRACAO MUNICIPAL.",283500,"Edital: 03/09/2021
Homologação: 28/09/2021
Julgamento: 22/09/2021
Adjudicação: 22/09/2021
Data de publicação: 03/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
25, 000064/2021," 0340/2021
",Pregão,Menor Preço,,27/09/2021,CONTRATACAO DE EMPRESA ESPECIALIZADA NA ADMINISTRACAO DE SEGURO PARA VEICULOS DO SETOR DE EDUCACAO MUNICIPAL.,4980,"Edital: 02/09/2021
Homologação: 01/10/2021
Julgamento: 27/09/2021
Adjudicação: 27/09/2021
Data de publicação: 02/09/2021
Prazo de Execução: 12 Meses
",Finalizado,,
26, 000063/2021," 0329/2021
 0330/2021
 0331/2021
 0332/2021
 0333/2021
",Pregão,Menor Preço,,16/09/2021,"AQUISICAO DE MATERIAL HOSPITALAR PARA MANUTENCAO DA SECRETARIA DE SAUDE E FRALDAS, EM ATENDIMENTO AOS SETORES DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DESTE MUNICIPIO.",2738175.89,"Edital: 31/08/2021
Homologação: 22/09/2021
Julgamento: 16/09/2021
Adjudicação: 16/09/2021
Data de publicação: 31/08/2021
Prazo de Execução: 12 Meses
",Finalizado,,
27, 000062/2021," 0327/2021
",Tomada de Preços,Menor Preço,,17/09/2021,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA RECUPERACAO DA ESTRUTURA DE CONCRETO ARMADO DA PONTE DO RIO SAPUCAI NO MUNICIPIO DE CAREACU/MG.",914209.2,"Edital: 27/08/2021
Homologação: 20/09/2021
Julgamento: 17/09/2021
Adjudicação: 17/09/2021
Data de publicação: 27/08/2021
Prazo de Execução: 7 Meses
",Finalizado,,
28, 000061/2021," 0320/2021
",Dispensa,Menor Preço,,26/08/2021,"CONTRATACAO DE EMPRESA PARA ELABORACAO DE PROJETO ELETRICO, CABEAMENTO ESTRUTURADO, PROJETO DE SISTEMA DE PROTECAO CONTRA DESCARGAS ATMOSFERICAS (SPDA) E PROJETO DE PREVENCAO CONTRA INCENDIO E PANICO DA UNIDADE BASICA DE SAUDE (UBS) DO MUNICIPIO DE CAREACU/MG.",12199.53,"Homologação: 27/08/2021
Julgamento: 26/08/2021
Adjudicação: 26/08/2021
Prazo de Execução: 30 Dias
",Finalizado,,
29, 000060/2021," 0325/2021
",Pregão,Menor Preço,,31/08/2021,"AQUISICAO DE CESTAS BASICAS PARA ATENDIMENTO AOS SERVICOS EVENTUAIS PRESTADOS PELO MUNICIPIO DE CAREACU-MG ALEM DE SUPRIR AS NECESSIDADES DAS PESSOAS QUE SE ENCONTRAM EM SITUACAO DE VULNERABILIDADE SOCIAL, CONFORME DISPOSTO DA POLITICA NACIONAL DE ASSISTENCIA SOCIAL.",35400,"Edital: 16/08/2021
Homologação: 09/09/2021
Julgamento: 31/08/2021
Adjudicação: 31/08/2021
Data de publicação: 16/08/2021
Prazo de Execução: 12 Meses
",Finalizado,,
30, 000059/2021," 0306/2021
",Dispensa,Menor Preço,,10/08/2021,LOCACAO DO IMOVEL PARA INSTALACAO DAS DEPENDENCIAS DA UNIDADE BASICA DE SAUDE.,7800,"Homologação: 10/08/2021
Julgamento: 10/08/2021
Adjudicação: 10/08/2021
Prazo de Execução: 12 Meses
",Finalizado,,
31, 000058/2021," 0301/2021
",Dispensa,Menor Preço,,06/08/2021,"CONTRATACAO DE EMPRESA PARA AQUISICAO DE MOTOCICLETA ZERO KM, PARA ATENDIMENTO AO SETOR DE SAUDE DESTE MUNICIPIO.",17550,"Homologação: 06/08/2021
Julgamento: 06/08/2021
Adjudicação: 06/08/2021
Prazo de Execução: 12 Meses
",Finalizado,,
32, 000057/2021," 0312/2021
 0313/2021
",Pregão,Menor Preço,,18/08/2021,AQUISICAO DE ARTEFATOS DE CIMENTO PARA A MANUTENCAO DO SETOR DE OBRAS E SERVICOS URBANOS DO MUNICIPIO DE CAREACU-MG.,462060,"Edital: 03/08/2021
Homologação: 24/08/2021
Julgamento: 18/08/2021
Adjudicação: 18/08/2021
Data de publicação: 03/08/2021
Prazo de Execução: 12 Meses
",Finalizado,,
33, 000056/2021," 0318/2021
 0315/2021
 0316/2021
 0317/2021
 0314/2021
 0319/2021
",Pregão,Menor Preço,,12/08/2021,AQUISICAO DE MATERIAL ESCOLAR PARA A MANUTENCAO DO SETOR DE EDUCACAO MUNICIPAL E MATERIAIS DIVERSOS PARA A MANUTENCAO DOS SETORES DA ADMINISTRACAO MUNICIPAL.,905915.1,"Edital: 29/07/2021
Homologação: 25/08/2021
Julgamento: 12/08/2021
Adjudicação: 19/08/2021
Data de publicação: 29/07/2021
Prazo de Execução: 12 Meses
",Finalizado,,
34, 000055/2021," 0309/2021
",Pregão,Menor Preço,,11/08/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO E INSTALACAO DE PERSIANAS NOS SETORES DE EDUCACAO E SAUDE MUNICIPAL.,10524.8,"Edital: 28/07/2021
Homologação: 17/08/2021
Julgamento: 11/08/2021
Adjudicação: 11/08/2021
Data de publicação: 28/07/2021
Prazo de Execução: 12 Meses
",Finalizado,,
35, 000054/2021," 0262/2021
 0263/2021
 0261/2021
 0265/2021
 0260/2021
 0264/2021
",Pregão,Menor Preço,,15/07/2021,EVENTUAL E FUTURA AQUISICAO DE PECAS ORIGINAIS PARA VEICULOS AUTOMOTORES E MAQUINAS PERTENCENTES A FROTA DO MUNICIPIO DE CAREACU/MG.,Maior Desconto,"Edital: 01/07/2021
Homologação: 21/07/2021
Julgamento: 15/07/2021
Adjudicação: 15/07/2021
Data de publicação: 01/07/2021
Prazo de Execução: 12 Meses
",Finalizado,,
36, 000053/2021," 0259/2021
",Pregão,Menor Preço,,13/07/2021,"AQUISICAO DE SEIXO ROLADO, AREIA E CASCALHO LAVADO, PARA USO NO SETOR DE ESTRADA DE RODAGEM E OBRAS DESTE MUNICIPIO.",131000,"Edital: 28/06/2021
Homologação: 19/07/2021
Julgamento: 13/07/2021
Adjudicação: 13/07/2021
Data de publicação: 28/06/2021
Prazo de Execução: 12 Meses
",Finalizado,,
37, 000052/2021," 0256/2021
 0257/2021
 0255/2021
",Pregão,Menor Preço,,09/07/2021,"CONTRATACAO DE EMPRESA ESPECIALIZADA, PARA PRESTACAO DE SERVICOS DE BORRACHARIA PARA A MANUTENCAO DOS VEICULOS, PERTECENTE A FROTA MUNICIPAL.",166800,"Edital: 24/06/2021
Homologação: 15/07/2021
Julgamento: 09/07/2021
Adjudicação: 09/07/2021
Data de publicação: 24/06/2021
Prazo de Execução: 12 Meses
",Finalizado,,
38, 000051/2021," 0254/2021
",Pregão,Menor Preço,,08/07/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE NOTEBOOKS PARA O ATENDIMENTO AO SETOR DE EDUCACAO MUNICIPAL.,122000,"Edital: 23/06/2021
Homologação: 14/07/2021
Julgamento: 08/07/2021
Adjudicação: 08/07/2021
Data de publicação: 23/06/2021
Prazo de Execução: 12 Meses
",Finalizado,,
39, 000049/2021," 0250/2021
 0249/2021
 0251/2021
 0253/2021
 0248/2021
 0252/2021
",Pregão,Menor Preço,,06/07/2021,AQUISICAO DE MATERIAL ODONTOLOGICO PARA MANUTENCAO DA SECRETARIA DE SAUDE MUNICIPAL.,212591,"Edital: 21/06/2021
Homologação: 12/07/2021
Julgamento: 06/07/2021
Adjudicação: 06/07/2021
Data de publicação: 21/06/2021
Prazo de Execução: 12 Meses
",Finalizado,,
40, 000048/2021," 0247/2021
",Pregão,Menor Preço,,30/06/2021,"CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MEDICAMENTOS SIMILAR E GENERICO, COM MAIOR DESCONTO (%) NA TABELA OFICIAL DA CMED/ANVISA, EM ATENDIMENTO DO SETOR DA SAUDE E DA ASSISTENCIA SOCIAL DA PREFEITURA MUNICIPAL DE CAREACU/MG.",Maior Desconto,"Edital: 16/06/2021
Homologação: 06/07/2021
Julgamento: 30/06/2021
Adjudicação: 30/06/2021
Data de publicação: 16/06/2021
Prazo de Execução: 12 Meses
",Finalizado,,
41, 000047/2021," 0267/2021
 0268/2021
",Pregão,Menor Preço,,29/06/2021,"CONTRATACAO DE EMPRESA PARA A PRESTACAO DE SERVICOS MECANICOS PARA A MANUTENCAO DE MAQUINAS E VEICULOS LEVES, PERTENCENTE A FROTA MUNICIPAL.",255000,"Edital: 15/06/2021
Homologação: 26/07/2021
Julgamento: 29/06/2021
Adjudicação: 20/07/2021
Data de publicação: 15/06/2021
Prazo de Execução: 12 Meses
",Finalizado,,
42, 000046/2021," 0243/2021
",Pregão,Menor Preço,,18/06/2021,"CONTRATACAO DE UMA EMPRESA VISANDO O FORNECIMENTO DE BOTIJOES DE GAS P13 E CILINDROS DE GAS P45, PARA A MANUTENCAO DOS SETORES DA EDUCACAO, ADMINISTRACAO, SAUDE E O CRAS (CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL) DA PREFEITURA MUNICIPAL.",76300,"Edital: 02/06/2021
Homologação: 24/06/2021
Julgamento: 18/06/2021
Adjudicação: 18/06/2021
Data de publicação: 02/06/2021
Prazo de Execução: 12 Meses
",Finalizado,,
43, 000044/2021," 0242/2021
",Pregão,Menor Preço,,16/06/2021,CONTRATACAO DE UMA EMPRESA ESPECIALIZADA PARA PRODUCAO E FORNECIMENTO DE SALGADOS E BOLOS DIVERSOS.,65000,"Edital: 31/05/2021
Homologação: 22/06/2021
Julgamento: 16/06/2021
Adjudicação: 16/06/2021
Data de publicação: 31/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
44, 000043/2021," 0235/2021
",Dispensa,Menor Preço,,31/05/2021,CONTRATACAO DE EMPRESA PARA CONFECCAO E FORNECIMENTO DE LIXEIRA DE AÇO PARA AREA RURAL DESTE MUNICIPIO.,17100,"Homologação: 31/05/2021
Julgamento: 31/05/2021
Adjudicação: 31/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
45, 000042/2021," 0241/2021
",Pregão,Menor Preço,,15/06/2021,AQUISICAO DE BLOQUETES 25X8 CM VIBRADO BRITA PARA A MANUTENCAO DO SETOR DE OBRAS E SERVICOS URBANOS DO MUNICIPIO DE CAREACU-MG.,174000,"Edital: 27/05/2021
Homologação: 21/06/2021
Julgamento: 15/06/2021
Adjudicação: 15/06/2021
Data de publicação: 27/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
46, 000041/2021," 0233/2021
 0234/2021
",Dispensa,Menor Preço,,28/05/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE EQUIPAMENTOS HOSPITALARES PARA O ATENDIMENTO AO SETOR DE SAUDE MUNICIPAL.,104208,"Homologação: 28/05/2021
Julgamento: 28/05/2021
Adjudicação: 28/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
47, 000040/2021,,Dispensa,Menor Preço,,21/05/2021,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS PARA VERIFICACAO E UTILIZACAO DO SISTEMA DE PRONTUARIO ELETRONICO (PEC), ACOMPANHAMENTO E ANALISE DOS RELATORIOS DE PRODUCAO POR COLABORADORES EM TODA REDE DA APS COM FOCO NOS INDICADORES DO PROGRAMA PREVINE BRASIL E DE SERVIÇOS EM NIVEL FEDERAL E ESTADUAL DE PRESTACAO DE CONTAS, METAS E GESTAO EM SAUDE. ELABORACAO DOS PLANEJAMENTOS PLURIANUAL E ANUAL, APOIO PARA EXECUCAO FINANCEIRA E CONTABIL, PRESTACOES DE CONTAS NOS SISTEMAS GEICOM E SI-GRES, PREPARO DE MATERIAL PARA AUDIENCIAS PUBLICAS E RELATORIOS ANUAIS NOS SISTEMAS ESTADUAL E FEDERAL.",30000,"Homologação: 21/05/2021
Julgamento: 21/05/2021
Adjudicação: 21/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
48, 000038/2021," 0240/2021
 0240/2021
",Tomada de Preços,Menor Preço,,08/06/2021,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA REFORMA DA ESCOLA MUNICIPAL COMENDADOR ANTONIO FLORENCIO NOGUEIRA - 2ª ETAPA.",266440.9,"Edital: 18/05/2021
Homologação: 14/06/2021
Julgamento: 08/06/2021
Adjudicação: 08/06/2021
Data de publicação: 19/05/2021
Prazo de Execução: 4 Meses
",Finalizado,,
49, 000037/2021," 0239/2021
",Pregão,Menor Preço,,01/06/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE UNIFORMES PARA O ATENDIMENTO AO SETOR DE SAUDE MUNICIPAL.,9650,"Edital: 17/05/2021
Homologação: 09/06/2021
Julgamento: 01/06/2021
Adjudicação: 01/06/2021
Data de publicação: 17/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
50, 000036/2021," 0222/2021
",Dispensa,Menor Preço,,17/05/2021,CONTRATACAO DE EMPRESA PARA ELABORACAO DE PROJETO PAISAGISTICO PARA A HORTA DA ESCOLA MUNICIPAL COMENDADOR ANTONIO FLORENCIO NOGUEIRA NO MUNICIPIO DE CAREACU/MG.,4000,"Homologação: 17/05/2021
Julgamento: 17/05/2021
Adjudicação: 17/05/2021
Prazo de Execução: 1 Mes
",Finalizado,,
51, 000035/2021," 0221/2021
",Dispensa,Menor Preço,,14/05/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE EQUIPAMENTOS HOSPITALARES PARA O ATENDIMENTO AO SETOR DE SAUDE MUNICIPAL.,75742,"Homologação: 14/05/2021
Julgamento: 14/05/2021
Adjudicação: 14/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
52, 000034/2021," 0237/2021
",Pregão,Menor Preço,,27/05/2021,"CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DOS SERVICOS DE CONSULTORIA EM PESQUISA E ELABORACAO, CONCLUSAO E PROTOCOLIZACAO DE PROJETOS NA AREA MUNICIPAL (ADMINISTRATIVA, ENGENHARIA, ARQUITETURA E ASSISTENCIA SOCIAL), COM OBJETIVO DE BUSCAR RECURSOS JUNTO AO ESTADO, UNIAO, AUTARQUIAS E FUNDACOES, BEM COMO NO ACOMPANHAMENTO E ORIENTACOES DOS CONSELHOS MUNICIPAIS.",104880,"Edital: 11/05/2021
Homologação: 02/06/2021
Julgamento: 27/05/2021
Adjudicação: 27/05/2021
Data de publicação: 11/05/2021
Prazo de Execução: 12 Meses
",Finalizado,,
53, 000033/2021," 0232/2021
",Tomada de Preços,Menor Preço,,24/05/2021,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA CALCAMENTO EM BLOQUETES DE CONCRETO SEXTAVADOS NA ESTRADA VICINAL BAIRRO DOS FORTES NO MUNICIPIO DE CAREACU/MG.",241750,"Edital: 06/05/2021
Homologação: 28/05/2021
Julgamento: 24/05/2021
Adjudicação: 24/05/2021
Data de publicação: 06/05/2021
Prazo de Execução: 03 Meses
",Finalizado,,
